course_code,course_name,professor,year,term,n_respondents,Course_Rating,Instructor_Rating,Rigor,Readings,Syllabus,Diverse Perspectives,Discussions,Assignments,Workload,Insights,Time Management,Discussion Diversity,Feedback,Availability,Respect,This course would benefit from more (or less) emphasis on issues of diverse perspectives.,This course would benefit from more (or less) emphasis on international perspectives.,The instructor effectively manages class discussion.,Class lectures clarified the subject material.,Materials Diversity,Sessions,gender
API-210,Advanced Quantitative Methods II: Econometric Methods,"Abadie, Alberto",2016,Spring,66,4.49,4.82,4.61,3.92,4.75,,4.45,4.61,3.08,4.77,4.39,4.7,4.58,4.83,4.95,3.34,3.37,4.2,4.65,,,M
API-208,Program Evaluation: Estimating Program Effectiveness with,"Abadie, Alberto",2016,Spring,57,3.95,4.26,4.58,3.68,4.14,,3.84,4.19,3.3,4.26,4.14,4.28,4.02,4.45,4.76,3.16,3.21,4.18,3.86,,,M
API-210,Advanced Quantitative Methods II: Econometric Methods,"Abadie, Alberto",2015,Spring,66,4.4,4.6,4.65,3.8,4.68,,4.44,4.43,2.92,4.79,4.63,4.71,4.56,4.83,4.95,3.18,3.36,4.52,4.63,,,M
API-208,Program Evaluation: Estimating Program Effectiveness with,"Abadie, Alberto",2015,Spring,53,4.37,4.65,4.69,3.72,4.43,,4.08,4.18,3.02,4.65,4.61,4.49,4.2,4.7,4.92,3.1,3.2,4.44,4.29,,,M
API-210,Advanced Quantitative Methods II: Econometric Methods,"Abadie, Alberto",2013,Spring,51,4.2,4.61,4.12,3.85,4.33,,4.34,4.36,2.92,4.68,4.34,4.44,4.42,4.73,4.82,3.27,3.43,4.34,4.52,,,M
API-210,Advanced Quantitative Methods II: Econometric Methods,"Abadie, Alberto",2012,Spring,39,4.03,4.29,4.2,3.5,4.45,,3.97,4.43,3.17,4.4,4.31,4.28,4.35,4.48,4.77,3.13,3.32,4.15,4.37,,,M
API-208,Program Evaluation: Estimating Program Effectiveness with,"Abadie, Alberto",2012,Spring,35,4.06,4.53,4.5,3.74,4.33,,3.88,4.24,3,4.41,4.47,4.48,4.19,4.64,4.94,3.09,3.09,4.38,3.91,,,M
API-210,Advanced Quantitative Methods II: Econometric Methods,"Abadie, Alberto",2008,Spring,51,4.04,3.94,4.22,3.69,4.36,,3.74,4.42,3.08,4.1,3.96,4.04,3.9,4.31,4.48,3.24,3.32,3.96,3.74,,,M
API-208,Program Evaluation: Estimating Program Effectiveness with,"Abadie, Alberto",2008,Spring,28,4.13,4.37,4.3,3.97,4.4,,3.97,4.43,3.17,4.7,4.53,4.33,4.27,4.41,4.72,3,3.22,4.27,4.13,,,M
API-210,Advanced Quantitative Methods II: Econometric Methods,"Abadie, Alberto",2011,Spring,55,3.98,4.32,4.07,3.6,4.35,,3.82,4.2,3.19,4.4,3.96,4.61,4.3,4.69,4.76,3.17,3.22,3.71,4.2,,,M
API-208,Program Evaluation: Estimating Program Effectiveness with,"Abadie, Alberto",2011,Spring,35,4.03,4.31,4.41,3.76,4.09,,3.91,3.91,3.03,4.44,4.38,4.12,3.82,4.41,4.56,3.22,3.35,4.03,4.15,,,M
API-210,Advanced Quantitative Methods II: Econometric Methods,"Abadie, Alberto",2010,Spring,51,3.18,3.22,3.63,2.85,3.73,,3,3.66,2.65,3.58,3.08,3.81,3.57,4.36,4.49,3.24,3.2,3.15,3.1,,,M
API-210,Advanced Quantitative Methods II: Econometric Methods,"Abadie, Alberto",2009,Spring,62,3.02,2.9,3.74,2.8,3.75,,2.95,3.9,2.79,3.4,3.31,3.44,3.18,4,3.87,3.1,3.24,3.16,2.9,,,M
API-208,Program Evaluation: Estimating Program Effectiveness with,"Abadie, Alberto",2009,Spring,42,4.12,4.29,4.44,3.82,4.05,,3.8,4.46,3.21,4.39,4.39,4.18,3.79,4.23,4.71,3.23,3.54,4.34,3.93,,,M
DPI-398,"Islam & the Age of Democracy: Origins, Continuity and Change","Abdur-Rashid, Khalil",2022,Spring,4,4.75,5,4.5,4.5,4.25,4.5,4.5,4.5,3.25,4.75,4.75,5,4,5,5,4,3.75,4.75,4.75,,,M
DPI 398,"Islam & the Age of Democracy Origins, Continuity and Change","Abdur-Rashid, Khalil",2023,Spring,9,5,4.89,4.56,4.78,4.89,4.89,4.89,4.78,3.12,4.89,4.89,4.89,4.67,4.89,4.89,,,,,4.89,4.89,M
DPI-326M,Personnel is Policy: Building Teams in American Government,"Abraham, Yohannes",2019,Spring,28,4.46,4.61,3.78,4.23,4.52,4.3,4.67,4.04,2.74,4.33,4.3,4.67,4.07,4.52,4.81,3.85,3.22,4.48,4.35,,,M
SUP-711,"Bleeding Out:  Causes, Consequences, and Cures for Urban","Abt, Thomas",2019,Spring,10,4.4,4.2,4.7,4.6,4.7,4.3,4.6,4.4,3.4,4.3,4.2,4.4,3.8,4.6,4.5,3.7,3.2,4.4,4.7,,,M
SUP-710,What Works & Why: Examining Effective Violence Reduction,"Abt, Thomas",2015,Fall,13,4.75,4.75,4.75,4.67,4.75,,4.75,4.67,3.58,4.91,4.58,4.75,4.75,4.67,4.64,3.64,3.6,4.5,4.83,,,M
DPI-201,The Responsibilities of Public Action,"Acosta Navas, Diana",2019,Fall,58,2.83,3.9,2.95,3.62,3.42,3.48,3.12,3,2.88,3.69,3.36,4.12,3.62,4.6,4.79,3.74,3.86,3.16,3.21,,,F
SUP-607M,Community Recovery: Rebuilding Disaster Damaged Communities,"Ahlers, Doug",2014,January,18,4.17,2.78,3.82,2.89,3.72,,3.59,4.28,4.11,2.83,2.61,3.67,2.89,3.88,4.22,3.65,3.35,2.94,2.5,,,M
SUP-606,Disaster Recovery Management: Rebuilding Cities After a Disaster,"Ahlers, Doug",2014,Spring,18,4.56,4.69,4.31,4.44,4.47,,4.5,4.31,3.87,4.56,4.44,4.56,4.5,4.81,4.88,3.53,3.53,4.38,4.5,,,M
SUP-606,Disaster Recovery Management and Urban Development: Rebuilding,"Ahlers, Doug",2012,Spring,2,5,5,4.5,4.5,5,,5,4.5,3.5,5,4.5,5,5,5,5,3,3,4.5,5,,,M
SUP-607M,Community Recovery:  Rebuilding Disaster Damaged,"Ahlers, Doug",2012,January,17,4.71,4.41,4.59,3.56,4.81,,4.12,4.53,4.63,4,4.27,4.24,4.06,4.35,4.47,3.25,3.2,3.75,3.53,,,M
SUP-606,Disaster Recovery Management and Urban Development:,"Ahlers, Doug",2010,Fall,10,3.9,3.8,4.1,3.8,4.1,,4.1,3.7,3.67,4.1,4,4.5,3.8,4.5,5,3.3,3.4,3.9,4.1,,,M
SUP-607M,Community Recovery:  Rebuilding New Orleans,"Ahlers, Doug",2011,Fall,17,5,4.76,4.53,4.53,4.94,,4.71,4.88,4.06,4.71,4.65,4.53,4.29,4.76,5,3.06,3.24,4.53,4.47,,,M
