,prof_search,course_code,concentration,course_name,credit,term,professor,day,time,description,course_link,mean_rating,mean_workload
0,"Ang, Desmond",DPI-386M D,"Democracy, Politics and Institutions","Race and Racism in Public Policies, Practices, and Perspectives",2,Fall 2,"Ang, Desmond",F,9:00 AM-11:45 AM,"This module seeks to provide a broad empirical understanding of the causes and consequences of racial inequality in America across a range of domains - from housing and education to criminal justice and labor markets. Students will learn about the state of racial inequality today and historically and will gain the analytical skills necessary to unpack the drivers of those trends. Throughout the course, students will engage with and critically evaluate leading quantitative research examining the real-world impacts of a range of public policies relevant to racial inequality.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Desmond Ang %20)%22%2C%22DeepLink%22%3Afalse%7D,4.2,2.46
1,"Krupin, Stephen",DPI-835M A,"Democracy, Politics and Institutions",Speechwriting,2,Fall 1,"Krupin, Stephen",F,1:30 PM-4:15 PM,"What makes a speech persuasive and memorable – and how do you write one? How can storytelling help political, corporate, nonprofit, and community leaders achieve their goals? What is the role of the speech in our politics, policymaking, and international relations? This course will explore the techniques speechwriters and speakers use, from research to rhetoric, to shape messages that move people and change the world.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Stephen Krupin %20)%22%2C%22DeepLink%22%3Afalse%7D,4.85,4.1
2,"Marks, Zoe",DPI-386M C,"Democracy, Politics and Institutions","Race and Racism in Public Policies, Practices, and Perspectives",2,Fall 2,"Marks, Zoe",F,9:00 AM-11:45 AM,"This module examines power and oppression in global context. Students will confront colonial legacies and explore key frameworks, from caste to global antiblackness, for understanding and redressing how racism shapes our lives and our world. Each student will build a personal toolkit of intersectional policy analysis skills and concepts – grappling with how racism interacts with sexism, classism, nationalism and other sources of inequality; together, we will work toward concrete policy and advocacy solutions to systemic racism.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Zoe Marks %20)%22%2C%22DeepLink%22%3Afalse%7D,4.66,3.3
3,*New*,DPI-831M B,"Democracy, Politics and Institutions",Op-Ed Writing,2,Fall 2,"Bogues, Austin",M,4:30 PM-7:15 PM,"This course focuses on persuasive communication; think of it as writing for people who are not paid to read you. It will give students confidence in how to frame, structure, write, and edit opinion pieces, with an emphasis on the clarity, concision, and persuasive power of their argument. The course, which is run as a series of seminars and writing workshops, will draw on the work of both seasoned op-ed writers and students. Active participation in class discussions, draft feedback, and exercises, along with preparation of the readings and writing assignments, is essential.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Austin Bogues %20)%22%2C%22DeepLink%22%3Afalse%7D,,
4,"Bloome, Deirdre",SUP-923,Social and Urban Policy,Proseminar on Inequality and Social Policy III,4,Fall,"Bloome, Deirdre",M,1:30 PM-3:30 PM,"This course is a PhD-level research seminar open to Social Policy PhD students and Inequality and Social Policy PhD fellows. The primary goal of the course and the related Inequality and Social Policy Seminar Series is to advance the students’ research. Students will present their research and receive feedback, discuss fellow students’ papers across disciplines,and engage with invited scholars who participate as discussants. Prerequisite: SUP-921 or SUP-922.
  Also offered by the Sociology Department as SOC 3307.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Deirdre Bloome %20)%22%2C%22DeepLink%22%3Afalse%7D,4.56,3.17
5,"Norris, Pippa",DPI-413,"Democracy, Politics and Institutions",Democratic Backsliding,4,Fall,"Norris, Pippa",M,4:30 PM-6:15 PM,"The early 21st Century has seen warning signals that peoples in every part of the world face clear and present danger from liberal democratic backsliding and authoritarian resurgence. The cumulative effects commonly erode of the quality of liberal democracies -- and sometimes trigger their eventual collapse. Meanwhile authoritarian states have commonly become even more repressive at home and emboldened abroad, challenging Western alliances and the rules-based world order. Part I in this course opens by discussing the concept, classification, and measurement of democratic and authoritarian regimes, and reviews evidence of trends. Part II debates multiple explanations for these developments. This includes (i) accounts focusing upon the rise of specific strongman leaders and elite enablers; (ii) falling electoral support for moderate parties, party system fragmentation, and the growing popularity of authoritarian-populist parties; (iii) the spread of misinformation and disinformation in the digital age; (iv) legal-institutional design flaws failing to check executive aggrandizement; (v) structural drivers and economic inequality in mass society; (vi) the impact of nativism, population migration, and growing ethnic and racial diversity; (vii) new electoral cleavages due to cultural shifts in social values; and (viii) global struggles in international relations pitting Western allies against the forces of authoritarian states. Part III considers the practical policy options flowing from each alternative theory. The course adopts a global comparative perspective, including the United States, using cross-national time series data and selected case studies of the process. Assignments include a regional workgroup mid-term report and a final individual research report. The class encourages the capacity to think quantitatively, to write effectively for a broad practitioner readership, and to communicate using professional data visualizations skills. Some statistical skills are an advantage but not essential.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Pippa Norris %20)%22%2C%22DeepLink%22%3Afalse%7D,3.69,3.4
6,"Norris, Pippa",DPI-418,"Democracy, Politics and Institutions",The Rise of Authoritarian Populism,4,Fall,"Norris, Pippa",M,8:30 AM-10:15 AM,"The rise of authoritarian populist forces in recent years has generated new challenges in many affluent societies and long-established democracies, such as the US, UK, Germany, Italy, Greece, and France, as well as shaping the politics of states worldwide, such as in Russia, Venezuela, Brazil, Hungary, Turkey, the Philippines, Thailand, and India. What explains these forces? What are the consequences? And what can be done to mitigate the risks? This course analyzes these issues from a comparative perspective, to understand American politics in a broader context. The course covers: (i) the core concepts and meanings of authoritarian populism and the classification of parties and leaders; (ii) explanations focused on cultural value change, economic grievances, issues of race, ethnicity, and immigration, electoral rules, and party competition; (iii) the impact on the civic culture and the policy agenda; and (iv) alternative strategic policy responses. The course is assessed through one workgroup mid-term report and one individual final research paper. Pedagogy includes a ‘flipped classroom’ where you are asked to view the weekly lecture video before the class. The weekly class meeting will focus on discussing these materials. Small workgroups will meet weekly outside of class to discuss topics further. Some statistical skills are an advantage but not essential.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Pippa Norris %20)%22%2C%22DeepLink%22%3Afalse%7D,3.69,3.4
7,"Schneier, Bruce",IGA-237M,International and Global Affairs,Future Issues in Cyber-Security Policy,2,Fall 2,"Schneier, Bruce",M,4:30 PM-7:15 PM,"Each year, this class addresses a new and emerging issue in cybersecurity policy. This semester, the topic will be AI security. Rapid advances in embedded systems, ubiquitous sensors, automatic algorithms, machine learning, autonomous systems, and artificial intelligence will affect security, safety, and privacy on all levels. As the current debates around large-language models, machine learning systems, and AI in general illustrate, current laws and policies are largely ill-equipped to handle our technological future. With the help of guest speakers, this seminar will explore selected aspects of these topics broadly: security issues that will arise in the future, and what regulatory, legislative, judicial, and market solutions can address them.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Bruce Schneier %20)%22%2C%22DeepLink%22%3Afalse%7D,4.6,2.65
8,"Schrag, Daniel",IGA-402,International and Global Affairs,"Confronting Climate Change: A Foundation in Science, Technology and Policy",4,Fall,"Schrag, Daniel",M,4:30 PM-5:45 PM,"This course will consider the challenge of climate change and what to do about it. Students will be introduced to the basic science of climate change, including the radiation budget of the Earth, the carbon cycle, and the physics and chemistry of the oceans and atmosphere. We will look at reconstructions of climate change through Earth history to provide a context for thinking about present and future changes. We will take a critical look at climate models used to predict climate change in the future, and discuss their strengths and weaknesses, evaluating which forecasts of climate change impacts are robust, and which are more speculative. We will spend particular time discussing sea level rise and extreme weather (including hurricanes, heat waves, and floods). We will look at the complex interactions between climate and human society, including climate impacts on agriculture and the relationship between climate change, migration and conflict. We will also discuss strategies for adapting to climate change impacts, and the implications of those strategies for sub-national and international equity. The last half of the class will consider what to do about climate change. First, we will review the recent history of greenhouse gas emissions, as well as various national and international efforts to limit them in the future. We will discuss reducing carbon emissions using forestry, agriculture and land use, and then focus on how to transform the world’s energy system to eliminate CO2 emissions. We will conclude by examining different strategies for accelerating changes in our energy systems to limit greenhouse gas emissions. The course is intended as a foundational course on climate change for students from around the university, preparing them for more specialized courses in their individual concentrations or degree programs. No prerequisites are required; students will be encouraged to apply their different preparations and interests to the various individual and group assignments. The course emphasizes the scientific and technological aspects of climate change (including the clean energy transition), but in the context of current issues in public policy, business, design and public health. Please note, in addition to the weekly class meeting at HKS, students will watch GENED 1094 lectures either live or recorded. GENED 1094 meets Mondays/Wednesdays 12:00-1:15 at FAS (location TBD). Also offered by the Earth and Planetary Sciences Department as EPS xxxx.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Daniel Schrag %20)%22%2C%22DeepLink%22%3Afalse%7D,4.5,2.58
9,"Avery, Christopher",API-101 Z,Analysis of Policies and Institutions,"Resources, Incentives, and Choices I: Markets and Market Failures",4,Fall,"Avery, Christopher",M/W,10:30 AM-11:45 AM,"This course applies microeconomic reasoning to public policies. It considers economic incentives and organizations; models of economic behavior; the operation of markets; the price system and how it works; the consequences of market failure and interventions in markets; and policy objectives and instruments. It is the first course in the ‘Resources, Incentives, and Choices’ sequence, and provides the foundational frameworks required for the second course in the sequence, Economic Analysis of Public Policy (API-102).
 

 Prerequisite: The Z section of this course presumes the ability to use basic calculus. API-101 is required for MPP students. May not be taken for credit if taken after API-109 or API-111. MPA students can enroll in API-101 only with the permission of the API-101 course head and if admitted will be assigned to a section by the MPP faculty chair.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Christopher%20Avery%20%20)%22%2C%22DeepLink%22%3Afalse%7D,4.87,3.15
