course_name,course_id,professor,course_description,session,days,time,prof_search,mean_rating,mean_workload,graph_rating,graph_workload,url
"Islam & the Age of Democracy: Origins, Continuity and Change",DPI 398,Abdur-Rashid,"This course is designed to prepare students to effectively engage with Islam, members of the Muslim community, and the Muslim world broadly speaking. The first portion of the course provides students with a broad, historical survey of Islam, including its origins, central institutions, and its religious, social, legal, and political approaches. In exploring Islam’s journey outside the Arabian Peninsula, the first part of the course will prioritize its focus on Islam’s complex ethnic",Full Term,M/W,10:30am - 11:45am,"Abdur-Rashid, Khalil",5.0,3.25,0.565333333333333,-0.0523333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 398(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Energy and Environmental Economics and Policy,API 165,Aldy,"This course applies economic tools to understand the rationale, design, and evaluation of public policies focused on energy and environmental problems. The course examines the efficacy, welfare, and distributional impacts of an array of policy approaches, including carbon pricing, subsidies for energy efficiency and renewable power, cap-and-trade programs for conventional air pollutants, fossil fuel subsidies, clean energy research and development, fuel economy standards, information programs, a",Full Term,M/W,3:00pm - 4:15pm,"Aldy, Joseph",3.964375,3.13,-0.470291666666667,-0.172333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 165(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Managing Climate Change Risks: Information, Incentives, and Institutions",API 170,Aldy,"Decision-makers – including individuals, businesses, civil society, and policymakers – are undertaking an array of strategies to manage the risks posed by a changing climate. This course explores how information, incentives, and institutions influence the actions taken by decision-makers on (1) adaptation and resilience; (2) emission reductions; (3) carbon dioxide removal from the atmosphere; and (4) solar geoengineering. Students will gain exposure to models drawing from decision sc",Full Term,M/W,10:30am - 11:45am,"Aldy, Joseph",3.964375,3.13,-0.470291666666667,-0.172333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 170(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Justice by Means of Democracy,DPI 247,Allen,"For much of the 20th century John Rawls’ Theory of Justice has provided a normative framework for much policy-making in the U.S. and elsewhere. In this course, students explore an alternative theory of justice that places greater emphasis on democracy, and look at concrete examples of the application of this alternative policy-making framework to concrete domains like housing, good jobs and the economy, education, and climate. The course helps highlight the tight connection between underly",Full Term,,3:00pm - 5:45pm,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 247(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Resources, Incentives, and Choices II: Analysis of Public Policy",API 102 B,Alsan,"This course builds on API-101 to develop microeconomic and macroeconomic tools of analysis for policy problems through various policy applications. The course is broadly focused on evaluating the rationale for government intervention in the economy and evaluating the efficiency, incentive, and distributional effects of government policies.",Full Term,M/W,9:00am - 10:15am,"Alsan, Marcella",4.433333333333334,3.2466666666666666,-0.0013333333333331,-0.0556666666666668,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 102 B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
PDIA in Action: Development Through Facilitated Emergence,MLD 103M,Andrews,"Many policy experts use what we call plan and control methods to introduce new solutions into complex settings. The results are often limited. In many cases this is because the challenges in development are too complex to allow for effective planning or to support the success of ex ante strategies in reform or policy execution. In the face of such complex challenges, we believe that practitioners should be using more flexible facilitated emergence methods, where they focus on problems inste",Spring 1,M/W,10:30am - 11:45am,"Andrews, Matthew",4.315757575757576,3.182121212121212,-0.118909090909091,-0.120212121212122,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 103M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Microeconomic Theory II,API 112,Avery,"A continuation of API-111. Covers information economics, bargaining and welfare economics, and general equilibrium. This is a comprehensive course in economic theory designed for doctoral students in all parts of the university.",Full Term,M/W,9:00am - 10:15am,"Avery, Christopher",4.140000000000001,3.60375,-0.294666666666666,0.301416666666666,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 112(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"African Politics in Perspective: Groups, Governance, and Growth",IGA 632,Ayee,"Africa is a diverse continent, rich in human and natural resources. According to recent projections, Africa will account for more than half of global population growth in the coming decades, doubling its current population of 1.2 billion people by the year 2050. With rapid urbanization across the continent, Africa is primed to become a key player in the global economic order and the center of the world’s urban megalopolises. This course provides a comprehensive introduction to wide-ranging",Full Term,M,4:30pm - 7:15pm,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 632(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Advanced Microeconomic Analysis II,API 110,Bai,"This is the second semester of a rigorous two-semester sequence in advanced microeconomic analysis for MPA/ID students. Topics covered include general equilibrium, externalities and public goods, welfare economics, game theory, economics of information, incentives, and contracts. Theory is illustrated by relevant applications to international development and other areas.",Full Term,M/W,10:30am - 11:45am,"Bai, Jie",4.834,3.500000000000001,0.399333333333333,0.197666666666668,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 110(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Political Communication Breakdown: Causes, Consequences, and Solutions",DPI 608,"Baum, Matthew","American democracy is in crisis. Politicians talk past each other, national policymaking is increasingly calcified, and states pursue wildly diverging policies that frequently contradict, or even directly challenge, one another. Traditionally apolitical policies are politicized. People tune in to separate and distinct information streams from which they receive contradictory messages about what constitute the nation’s problems, and how best to fix them. They increasingly don’t like e",Full Term,M/W,12:00pm - 1:15pm,"Baum, Matthew",3.7584,2.6148,-0.676266666666667,-0.687533333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 608(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
